Dates|S 1 Comdty_PX_LAST|C 1 Comdty_PX_LAST|W 1 Comdty_PX_LAST|SM1 Comdty_PX_LAST|BO1 Comdty_PX_LAST|AK1 Comdty_PX_LAST|AE1 Comdty_PX_LAST|SH1 Comdty_PX_LAST|DL1 Comdty_PX_LAST|DDGSFVGM Comdty_PX_LAST|BCOM Index_PX_LAST|BCOMTR Index_PX_LAST|DBC US Equity_PX_LAST|CCI Index_PX_LAST|USDCAD Curncy_PX_LAST|BB_MA|BB_UPPER|BB_LOWER|EMAVG
2013-02-05|1495.5|729.0|757.5|438.5|52.98|4812|3863|8686|2.443|342|142.8593|287.4807|28.59|570.46|0.9956|1436.1375|1505.9104308184772|1366.364569181523|1480.307072971008
2013-02-06|1487.5|722.5|761.5|437.1|52.45|4792|3886|8686|2.429|342|142.4209|286.5991|28.55|567.99|0.9956|1441.1875|1510.47744786403|1371.89755213597|1482.7047153140054
2013-02-07|1486.75|710.75|756.0|437.6|51.85|4792|3875|8620|2.408|342|141.1779|284.0982|28.44|564.43|0.9979|1446.25|1513.28394662408|1379.21605337592|1484.0531435426703
2013-02-08|1452.5|709.0|756.25|422.4|51.43|4837|3894|8620|2.412|333|141.2078|284.1589|28.55|563.61|1.002|1449.8875|1509.586636300285|1390.1883636997152|1473.535429028447
2013-02-11|1431.5|702.25|741.5|413.0|51.24|4837|3894|8620|2.397|333|140.511|282.7584|28.45|561.0|1.0048|1452.8|1502.0241302614886|1403.5758697385113|1459.523619352298
2013-02-12|1420.75|696.25|732.0|410.3|51.1|4837|3894|8620|2.387|333|140.2585|282.2509|28.5|561.17|1.0023|1452.9375|1501.7859582663568|1404.0890417336432|1446.5990795681987
2013-02-13|1423.0|695.5|735.5|408.1|51.66|4837|3894|8620|2.367|333|140.4923|282.7221|28.51|561.31|1.0018|1453.4125|1500.883089579233|1405.9419104207668|1438.7327197121326
2013-02-14|1418.0|694.75|732.0|407.2|51.7|4837|3894|8620|2.329|333|139.611|280.9492|28.47|558.05|1.0009|1452.4875|1501.92065562454|1403.0543443754598|1431.821813141422
2013-02-15|1424.5|698.75|742.25|409.4|51.62|4837|3894|8620|2.353|338|139.1974|280.1175|28.35|556.15|1.0064|1452.2|1502.2106488660163|1402.1893511339836|1429.381208760948
2013-02-18|1424.5|698.75|742.25|409.4|51.62|4800|3828|8620|2.353|338|139.1974|280.1175|28.35|556.15|1.0107|1454.25|1503.687586915221|1404.812413084779|1443.0041391739655
2013-02-19|1470.25|695.25|732.25|425.3|52.53|4810|3814|8590|2.368|338|139.2421|280.2102|28.24|554.92|1.0112|1454.25|1503.687586915221|1404.812413084779|1443.0041391739655
2013-02-20|1482.75|700.5|738.5|433.6|52.07|4841|3843|8638|2.365|338|138.4064|278.5294|27.92|553.37|1.0167|1455.8|1506.7476692302994|1404.8523307697003|1456.2527594493104
2013-02-21|1487.75|690.75|721.25|437.3|51.31|4839|3840|8512|2.35|338|136.833|275.3639|27.6|549.34|1.0185|1458.3375|1510.3315561506795|1406.3434438493207|1466.7518396328735
2013-02-22|1461.25|690.25|715.0|426.9|50.35|4907|3901|8584|2.363|338|136.6902|275.0775|27.6|549.41|1.0215|1459.6375|1510.5463585120508|1408.7286414879493|1464.9178930885826
2013-02-25|1451.25|693.5|699.25|425.6|50.07|4857|3881|8524|2.371|338|137.1196|275.9442|27.47|550.34|1.0262|1460.15|1510.5013654233926|1409.7986345766076|1460.3619287257218
2013-02-26|1447.75|705.0|705.75|427.7|49.02|4880|3900|8366|2.396|338|137.0791|275.8638|27.42|550.25|1.0261|1460.15|1510.5013654233926|1409.7986345766076|1456.1579524838146
2013-02-27|1457.5|709.5|704.25|429.3|49.27|4850|3880|8374|2.385|338|136.5855|274.8713|27.25|549.71|1.0229|1460.4375|1510.6592271208388|1410.2157728791612|1456.6053016558765
2013-02-28|1474.25|719.5|707.75|434.8|48.82|4880|3914|8374|2.405|338|136.5666|274.8341|27.13|550.07|1.0306|1460.2125|1510.1435211692092|1410.281478830791|1462.4868677705845
2013-03-01|1443.5|708.5|720.5|429.3|49.67|4850|3930|7872|2.414|344|135.7656|273.2232|26.94|544.79|1.0268|1458.9625|1509.2514836345897|1408.6735163654107|1456.1579118470563
2013-03-04|1462.0|703.25|702.5|433.7|50.26|4850|3930|7872|2.411|344|135.9466|273.5902|26.84|545.58|1.0273|1458.35|1508.1755456568214|1408.5244543431784|1458.1052745647044
2013-03-05|1466.5|709.0|706.0|435.9|50.13|4900|3930|7872|2.437|344|136.4995|274.7038|27.09|546.09|1.0269|1457.2375|1505.259233361052|1409.2157666389478|1460.9035163764695
2013-03-06|1466.0|688.5|683.75|435.3|50.26|4900|3930|7872|2.4|344|135.4683|272.6294|26.94|543.1|1.032|1455.7625|1500.706207846594|1410.818792153406|1462.60234425098
2013-03-07|1473.5|691.25|695.5|436.1|50.61|4900|3930|7872|2.436|344|136.7743|275.2585|27.12|548.23|1.0294|1455.0625|1498.4150878696994|1411.7099121303006|1466.23489616732
2013-03-08|1471.0|703.5|697.0|435.2|50.34|4900|3930|7872|2.512|344|137.2526|276.222|27.2|552.06|1.0287|1454.275|1495.8315578459044|1412.7184421540958|1467.823264111547
2013-03-11|1479.5|711.25|700.0|438.0|50.44|4900|3930|7872|2.544|344|137.4127|276.5468|27.22|553.98|1.0259|1455.625|1498.5934477262094|1412.6565522737906|1471.715509407698
2013-03-12|1468.75|714.25|703.5|436.2|49.98|5193|3930|7872|2.534|344|137.7645|277.2555|27.28|555.52|1.0257|1457.4875|1499.3260214246393|1415.6489785753606|1470.7270062717987
2013-03-13|1447.0|710.25|710.0|428.9|49.52|5193|3930|7872|2.583|344|137.2916|276.3045|27.14|553.91|1.0276|1458.8|1497.4735051424095|1420.1264948575902|1462.8180041811993
2013-03-14|1435.5|716.5|724.75|425.0|49.34|4905|3930|7872|2.628|344|138.2338|278.2014|27.34|556.11|1.0222|1459.425|1496.1173357119712|1422.732664288029|1453.7120027874662
2013-03-15|1426.0|717.0|723.0|418.8|49.91|4892|3654|8010|2.629|342|138.3651|278.4663|27.4|556.38|1.0194|1459.825|1494.8382474929133|1424.8117525070868|1444.4746685249777
2013-03-18|1409.5|720.0|712.75|413.3|49.68|4877|3569|7976|2.631|342|137.5206|276.7689|27.24|552.5|1.0222|1459.075|1497.5539228019704|1420.5960771980297|1432.8164456833183
2013-03-19|1406.75|728.5|722.0|411.6|49.48|4883|3585|8016|2.605|342|137.3775|276.4817|27.04|551.61|1.0268|1455.9|1500.2047401527198|1411.5952598472804|1424.1276304555456
2013-03-20|1419.75|732.5|736.0|413.8|49.84|4893|3638|7996|2.585|342|138.1382|278.0132|27.23|553.55|1.026|1452.75|1497.9207870199314|1407.5792129800686|1422.668420303697
2013-03-21|1449.0|733.0|728.75|422.9|50.42|4904|3678|8070|2.569|342|138.0041|277.744|27.11|554.28|1.0252|1450.8125|1493.0404158259084|1408.5845841740916|1431.4456135357982
2013-03-22|1440.5|726.25|729.75|419.3|50.43|4917|3675|8038|2.544|328|138.0096|277.7557|27.16|553.5|1.0232|1449.775|1491.9457540838434|1407.6042459161567|1434.463742357199
2013-03-25|1437.25|733.25|727.25|417.8|50.44|4957|3663|8040|2.54|328|137.7931|277.3219|27.18|553.44|1.0213|1449.075|1491.5879686095902|1406.56203139041|1435.3924949047994
2013-03-26|1447.75|730.25|731.5|420.2|50.82|4990|3663|8018|2.537|328|138.5049|278.7551|27.43|555.58|1.0161|1449.075|1491.5879686095902|1406.56203139041|1439.5116632698664
2013-03-27|1453.75|735.25|736.75|423.1|50.82|4998|3689|8036|2.583|328|139.331|280.4182|27.57|557.63|1.016|1448.8875|1491.2830997127062|1406.491900287294|1444.2577755132445
2013-03-28|1404.75|695.25|687.75|404.6|50.11|5000|3701|8008|2.451|328|137.4762|276.686|27.31|551.65|1.0162|1445.4125|1490.246157836496|1400.578842163504|1431.0885170088295
2013-03-29|1404.75|695.25|687.75|404.6|50.11|4996|3637|7872|2.451|327|137.4762|276.686|27.31|551.89|1.0174|1442.775|1493.5598156440487|1391.9901843559514|1417.642344672553
2013-04-01|1390.75|642.25|664.0|398.5|50.06|4996|3624|7794|2.326|327|136.3566|274.4348|27.31|548.32|1.0168|1442.775|1493.5598156440487|1391.9901843559514|1417.642344672553
2013-04-02|1394.0|640.5|670.75|402.1|49.59|4987|3603|7776|2.359|327|135.5209|272.7535|27.18|547.48|1.0148|1439.375|1493.5482175525876|1385.2017824474124|1409.7615631150354
2013-04-03|1380.25|641.5|696.5|398.0|49.15|5002|3536|7784|2.412|327|133.9288|269.5497|26.72|544.76|1.0146|1435.0625|1493.4777965840285|1376.6472034159715|1399.9243754100237
2013-04-04|1372.0|630.0|694.0|397.1|48.55|5002|3536|7784|2.423|327|133.6427|268.9745|26.69|542.91|1.0127|1430.3625|1493.0357548620225|1367.6892451379777|1390.6162502733491
2013-04-05|1361.75|629.0|699.0|391.8|48.83|5002|3536|7784|2.417|327|134.0849|269.865|26.67|544.61|1.0176|1424.775|1490.8992958374606|1358.6507041625396|1380.9941668488996
2013-04-08|1378.0|633.5|712.5|393.3|49.52|5023|3488|7804|2.457|327|134.4943|270.6906|26.75|545.3|1.0166|1420.125|1485.6701180485625|1354.5798819514375|1379.9961112325998
2013-04-09|1395.5|644.25|708.75|394.8|49.98|5047|3489|7860|2.499|327|135.2981|272.3091|26.92|548.41|1.0164|1415.925|1476.2723487404376|1355.5776512595623|1385.1640741550666
2013-04-10|1392.75|649.0|696.75|392.9|50.03|5041|3499|7868|2.423|327|135.0251|271.7601|26.86|547.07|1.0142|1412.125|1468.1014459393414|1356.1485540606586|1387.6927161033775
2013-04-11|1402.0|651.25|697.75|395.0|49.77|5037|3485|7790|2.448|327|135.0209|271.7521|26.75|546.69|1.0105|1409.875|1463.6370916631784|1356.1129083368216|1392.4618107355852
2013-04-12|1413.0|658.5|714.75|400.2|49.23|5030|3502|7682|2.422|289|133.855|269.4059|26.42|543.72|1.0136|1408.75|1461.2469046706565|1356.2530953293435|1399.3078738237236
2013-04-15|1395.0|646.75|693.75|393.3|48.18|5032|3495|7534|2.371|289|129.9374|261.5225|25.63|529.74|1.0256|1407.2|1459.3978447830943|1355.0021552169055|1397.8719158824824
2013-04-16|1411.5|663.25|703.5|401.3|48.98|5025|3505|7382|2.404|289|131.1062|263.8755|25.9|534.17|1.0207|1407.3|1459.522744087227|1355.077255912773|1402.4146105883217
2013-04-17|1422.25|660.5|703.75|407.3|49.39|5028|3568|7484|2.458|289|130.3211|262.2957|25.52|534.17|1.0266|1408.075|1460.7005878827022|1355.449412117298|1409.0264070588812
2013-04-18|1430.5|644.5|702.75|411.0|49.66|5029|3583|7408|2.46|289|131.606|264.8823|25.79|534.07|1.0264|1408.6125|1461.919271380379|1355.3057286196208|1416.1842713725875
2013-04-19|1428.25|652.0|709.0|412.4|49.16|5026|3591|7438|2.488|288|131.5112|264.6917|25.73|534.71|1.0266|1407.575|1458.449379603097|1356.700620396903|1420.2061809150584
2013-04-22|1417.25|645.75|702.25|410.0|48.62|5004|3569|7270|2.459|288|130.9605|263.5847|25.81|533.02|1.0256|1406.4125|1455.2459606084803|1357.5790393915197|1419.2207872767058
2013-04-23|1419.75|638.5|697.5|411.7|48.57|4999|3589|7204|2.43|288|130.0887|261.8303|25.65|528.53|1.0257|1405.5375|1452.728938577352|1358.3460614226478|1419.397191517804
2013-04-24|1404.0|639.5|691.75|405.9|49.18|5000|3584|7144|2.435|288|130.6107|262.8812|25.93|530.53|1.0256|1403.35|1446.3846953050677|1360.3153046949324|1414.2647943452027
2013-04-25|1423.5|645.25|701.25|414.3|49.77|4967|3619|7122|2.453|288|132.6178|266.9213|26.27|537.85|1.0198|1401.8375|1439.4673667948746|1364.2076332051256|1417.3431962301352
2013-04-26|1430.75|644.0|688.75|417.9|49.66|4922|3655|7114|2.459|289|131.9185|265.5143|26.12|534.83|1.0167|1403.1375|1442.820454464102|1363.454545535898|1421.8121308200905
2013-04-29|1471.75|684.0|709.75|431.4|49.46|4922|3655|7114|2.571|289|134.3837|270.4771|26.47|543.32|1.0112|1407.1875|1456.3807096432015|1357.9942903567985|1438.4580872133936
2013-04-30|1467.75|683.25|721.75|428.3|49.13|4922|3655|7114|2.582|289|133.6316|268.9637|26.27|541.82|1.0073|1410.875|1466.231684329898|1355.518315670102|1448.2220581422623
2013-05-01|1373.0|646.75|721.0|404.4|48.85|4922|3655|7114|2.459|289|131.3275|264.3266|25.8|533.05|1.0083|1410.5125|1466.7544938746842|1354.270506125316|1423.1480387615084
2013-05-02|1372.25|662.0|728.5|406.2|48.49|4888|3680|6986|2.519|289|131.5975|264.8704|26.13|538.56|1.0105|1410.525|1466.7328508751225|1354.3171491248777|1406.1820258410055
2013-05-03|1387.25|661.25|721.0|406.5|49.27|4820|3697|7014|2.559|287|133.1178|267.9307|26.42|541.73|1.008|1411.8|1464.5765572958296|1359.0234427041703|1399.8713505606706
2013-05-06|1369.25|636.5|702.75|401.2|48.76|4820|3701|7090|2.521|287|132.6981|267.087|26.45|539.46|1.0068|1411.3625|1465.3829764418083|1357.3420235581914|1389.664233707114
2013-05-07|1382.25|640.0|709.0|403.3|49.14|4820|3699|7108|2.563|287|132.0273|265.7373|26.36|537.45|1.0042|1410.7|1465.7966423659373|1355.6033576340628|1387.1928224714093
2013-05-08|1390.75|633.0|706.0|407.6|48.82|4820|3718|7192|2.583|287|132.9375|267.5695|26.48|540.44|1.0027|1410.6|1465.833685374054|1355.3663146259455|1388.3785483142728
2013-05-09|1408.75|648.75|723.5|413.2|49.22|4750|3729|7192|2.627|287|133.384|268.4686|26.47|542.46|1.0068|1410.9375|1466.039195754305|1355.835804245695|1395.1690322095153
2013-05-10|1399.0|636.25|704.25|406.8|49.23|4733|3735|7292|2.606|285|131.9441|265.5707|26.35|536.0|1.01|1410.2375|1465.5718191428248|1354.9031808571751|1396.4460214730102
2013-05-13|1419.25|655.5|709.75|415.1|49.61|4731|3716|7292|2.671|285|132.1976|266.0817|26.23|538.33|1.0106|1411.45|1466.4574085919344|1356.4425914080657|1404.0473476486736
2013-05-14|1414.75|652.5|710.75|411.8|49.76|4728|3763|7334|2.653|285|131.9191|265.5215|26.14|537.81|1.018|1411.6125|1466.6387380596748|1356.5862619403251|1407.614898432449
2013-05-15|1412.75|650.75|693.75|410.5|49.35|4743|3709|7120|2.634|285|131.2985|264.2728|26.08|533.05|1.0157|1411.1375|1465.9518400489326|1356.3231599510675|1409.326598954966
2013-05-16|1427.5|641.5|687.75|414.9|49.52|4809|3479|7288|2.628|285|130.9044|263.4799|26.05|530.81|1.0195|1410.9875|1465.6051425251037|1356.3698574748964|1415.3843993033108
2013-05-17|1448.5|652.75|683.25|425.1|49.52|4814|3485|7288|2.671|284|131.7001|265.0817|26.18|530.65|1.0281|1412.0|1468.5758340636708|1355.4241659363292|1426.422932868874
2013-05-20|1464.5|649.5|685.25|435.3|49.2|4844|3496|7288|2.667|284|132.4972|266.6871|26.35|532.92|1.0241|1414.3625|1475.3890259948491|1353.3359740051508|1439.1152885792494
2013-05-21|1478.25|640.0|680.5|438.7|49.48|4837|3518|7288|2.632|284|132.3876|266.4669|26.2|531.29|1.0267|1417.2875|1484.3735035700442|1350.2014964299556|1452.1601923861665
2013-05-22|1494.25|658.5|688.5|440.6|49.64|4846|3517|7288|2.646|284|132.3145|266.32|26.08|531.06|1.0367|1421.8|1496.4218131647845|1347.1781868352157|1466.1901282574445
2013-05-23|1499.5|662.0|703.25|437.0|49.66|4856|3527|7288|2.627|284|132.5625|266.8196|26.2|531.71|1.0305|1425.6|1507.5605697881608|1343.639430211839|1477.2934188382962
2013-05-24|1476.25|657.25|697.5|428.2|49.24|4867|3529|7324|2.604|288|131.9755|265.6384|26.1|530.0|1.0318|1427.875|1512.7549888077278|1342.9950111922722|1476.9456125588642
2013-05-27|1476.25|657.25|697.5|428.2|49.24|4871|3531|7370|2.604|288|131.9755|265.6384|26.1|530.0|1.0341|1429.75|1519.916096732641|1339.583903267359|1487.7137417059096
2013-05-28|1509.25|666.5|693.75|442.3|49.54|4873|3531|7370|2.632|288|132.4238|266.5421|26.34|530.81|1.0398|1429.75|1519.916096732641|1339.583903267359|1487.7137417059096
2013-05-29|1501.75|665.0|702.75|444.3|48.63|4859|3589|7370|2.695|288|131.8463|265.3801|26.17|531.31|1.0351|1431.45|1525.611377432576|1337.2886225674242|1492.3924944706064
2013-05-30|1495.75|654.25|698.75|440.8|48.58|4840|3594|7292|2.698|288|131.3124|264.3058|26.17|530.7|1.0297|1437.5875|1531.7113910957255|1343.463608904275|1493.5116629804045
2013-05-31|1510.0|662.0|705.5|447.2|48.38|4829|3615|7292|2.744|293|130.6295|262.9314|25.86|528.06|1.0375|1444.475|1538.6263276592529|1350.323672340747|1499.0077753202695
2013-06-03|1532.5|655.75|708.75|454.4|48.66|4820|3709|7292|2.563|293|131.8161|265.3208|26.18|532.33|1.0278|1451.7375|1549.452580079791|1354.022419920209|1510.1718502135132
2013-06-04|1528.75|660.5|709.0|452.5|48.59|4822|3724|7304|2.552|293|132.1328|265.9586|26.28|533.44|1.0342|1459.7125|1555.2069075587676|1364.2180924412326|1516.364566809009
2013-06-05|1532.0|660.75|701.5|455.9|48.3|4818|3762|7304|2.525|293|132.1761|266.0461|26.16|532.36|1.0345|1467.2|1560.687646242699|1373.7123537573011|1521.5763778726728
2013-06-06|1527.25|663.25|697.75|454.0|48.16|4797|3764|7304|2.488|293|131.7512|265.1912|26.26|534.15|1.0264|1474.025|1564.057757927323|1383.9922420726768|1523.4675852484486
2013-06-07|1528.25|666.25|696.25|452.5|48.53|4781|3781|7330|2.506|300|131.2979|264.2791|26.32|532.23|1.0197|1480.0|1567.7439456600853|1392.2560543399147|1525.061723498966
2013-06-10|1511.75|650.0|689.75|448.3|48.07|4781|3781|7330|2.479|300|130.5902|262.8557|26.22|531.64|1.0194|1485.6375|1566.0196303213595|1405.2553696786406|1520.624482332644
2013-06-11|1540.5|659.5|696.75|463.4|48.04|4781|3781|7330|2.439|300|129.9455|261.5583|25.99|530.15|1.0189|1491.7|1569.3839108181353|1414.0160891818648|1527.2496548884294
2013-06-12|1540.75|650.75|683.0|461.4|48.11|4781|3781|7330|2.431|300|130.1121|261.894|26.02|530.01|1.0212|1498.0|1569.9232229533688|1426.0767770466312|1531.7497699256196
2013-06-13|1510.25|643.5|685.5|452.6|47.84|4781|3789|7330|2.461|300|130.0811|261.8319|26.19|527.74|1.0159|1502.875|1563.3265301708732|1442.4234698291268|1524.583179950413
2013-06-14|1516.5|655.0|680.75|450.7|48.48|4767|3752|7330|2.5|300|130.3727|262.4192|26.3|528.56|1.017|1507.325|1557.0846975473123|1457.5653024526878|1521.8887866336088
2013-06-17|1512.5|668.5|680.5|449.1|48.84|4724|3759|7330|2.505|300|130.7633|263.2063|26.36|527.32|1.0186|1510.525|1552.338245509049|1468.711754490951|1518.7591910890726
2013-06-18|1510.75|673.25|687.5|451.8|48.81|4734|3779|7330|2.5|300|130.8973|263.4764|26.41|526.64|1.0212|1512.8375|1548.9388417340683|1476.7361582659316|1516.0894607260484
2013-06-19|1523.0|682.25|707.0|453.6|49.35|4734|3778|7290|2.485|300|131.9738|265.6436|26.45|529.55|1.0273|1515.075|1547.704396255524|1482.445603744476|1518.3929738173656
2013-06-20|1497.5|673.25|700.5|445.6|48.4|4709|3799|7290|2.456|300|128.0609|257.7679|25.59|515.0|1.0387|1515.2375|1547.4805128089793|1482.9944871910209|1511.428649211577
2013-06-21|1493.25|661.75|698.0|447.7|48.02|4692|3767|7290|2.464|293|127.2764|256.189|25.43|513.91|1.0457|1514.925|1547.8852412005738|1481.964758799426|1505.3690994743847
2013-06-24|1512.0|653.25|679.0|451.0|47.55|4610|3731|7290|2.441|293|126.418|254.4622|25.32|510.17|1.0501|1516.7125|1544.5720921542295|1488.8529078457707|1507.57939964959
2013-06-25|1525.25|656.75|675.75|458.8|47.14|4648|3742|7290|2.446|293|126.4074|254.4412|25.34|510.07|1.0515|1517.5125|1545.3878811633133|1489.6371188366868|1513.4695997663937
2013-06-26|1534.25|664.5|667.0|463.3|46.63|4708|3707|7290|2.466|293|125.739|253.0962|25.27|504.2|1.047|1519.1375|1546.936994150074|1491.338005849926|1520.3963998442623
2013-06-27|1548.5|667.25|663.5|479.6|46.4|4678|3647|7290|2.469|293|125.3286|252.2707|25.26|504.88|1.0477|1521.775|1550.2007365779675|1493.349263422033|1529.7642665628416
2013-06-28|1564.5|679.25|648.5|490.3|46.42|4685|3599|7290|2.453|288|124.4663|250.5353|25.13|500.38|1.0519|1524.5|1557.901721512521|1491.098278487479|1541.3428443752275
2013-07-01|1436.25|531.5|655.0|432.9|46.82|4674|3547|7290|2.323|288|125.3931|252.4021|25.29|504.21|1.0497|1519.6875|1570.3614269743327|1469.0135730256673|1506.311896250152
2013-07-02|1433.5|533.0|658.25|432.9|46.83|4674|3550|7290|2.311|288|125.9754|253.5746|25.39|505.26|1.0544|1514.925|1577.7450007959249|1452.104999204075|1482.041264166768
2013-07-03|1441.25|532.25|665.0|432.6|47.11|4674|3617|7290|2.36|288|126.8033|255.2414|25.62|508.11|1.0505|1510.3875|1580.325235701122|1440.449764298878|1468.4441761111789
2013-07-04|1441.25|532.25|665.0|432.6|47.11|4670|3670|7178|2.36|288|126.8033|255.2414|25.62|508.11|1.0515|1505.625|1582.9076791719851|1428.3423208280149|1456.2961174074526
2013-07-05|1432.0|525.75|660.0|428.6|47.14|4670|3859|6748|2.392|288|125.5383|252.6958|25.56|502.56|1.0582|1505.625|1582.9076791719851|1428.3423208280149|1456.2961174074526
2013-07-08|1455.5|533.25|663.0|442.1|46.96|4670|3859|6748|2.41|288|126.9254|255.4889|25.69|506.79|1.0558|1501.9875|1581.4847444491002|1422.4902555508995|1456.0307449383015
2013-07-09|1468.25|551.75|677.5|448.9|47.02|4670|3700|6748|2.426|288|127.2737|256.1903|25.85|509.41|1.0527|1499.8125|1580.4937981737403|1419.1312018262597|1460.103829958868
2013-07-10|1464.75|553.75|679.0|449.7|47.02|4670|3750|6748|2.441|288|128.3029|258.2624|25.93|510.63|1.0465|1496.025|1575.8176845017765|1416.232315498224|1461.652553305912
2013-07-11|1472.0|560.75|683.0|458.0|46.53|4670|3861|6748|2.469|288|128.6083|258.8775|26.06|514.18|1.0366|1492.5875|1570.2726457809022|1414.902354219098|1465.1017022039414
